2020-11-20 15:56:44.639 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-11-20 15:56:44.643 [main] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2020-11-20 15:56:44.643 [main] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-11-20 15:56:44.643 [main] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-11-20 15:56:44.651 [main] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2020-11-20 15:56:44.934 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-20 15:56:44.935 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2651 ms
2020-11-20 15:56:46.250 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 15:56:46.251 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 15:56:46.257 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 15:56:46.257 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 15:56:46.485 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-20 15:56:48.219 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-11-20 15:56:48.476 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2020-11-20 15:56:48.510 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8004 (http) with context path ''
2020-11-20 15:56:49.805 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-11-20 15:56:49.815 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-20 15:56:49.849 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-20 15:56:49.864 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-11-20 15:56:49.891 [main] INFO  com.soft1851.Application - Started Application in 11.943 seconds (JVM running for 13.438)
2020-11-20 15:57:21.783 [http-nio-8004-exec-4] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-20 15:57:21.783 [http-nio-8004-exec-4] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-20 15:57:21.799 [http-nio-8004-exec-4] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 16 ms
2020-11-20 15:57:22.310 [http-nio-8004-exec-4] INFO  c.s.controller.FileUploadController - path=group1/M00/00/00/J2H8PF-3dt-AKSISAACpqRxp-EU380.jpg
2020-11-20 15:57:22.310 [http-nio-8004-exec-4] INFO  c.s.controller.FileUploadController - 看看是否进入doAliImageReview方法中来
2020-11-20 15:57:22.310 [http-nio-8004-exec-4] INFO  c.s.controller.FileUploadController - http://39.97.252.60:8888/group1/M00/00/00/J2H8PF-3dt-AKSISAACpqRxp-EU380.jpg
2020-11-20 15:59:30.464 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2020-11-20 15:59:31.163 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2020-11-20 15:59:32.688 [main] INFO  com.soft1851.Application - The following profiles are active: dev
2020-11-20 15:59:34.097 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-20 15:59:34.101 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-20 15:59:34.151 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33ms. Found 0 Redis repository interfaces.
2020-11-20 15:59:34.496 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=0bfaecec-ef64-3cf2-8706-6f87047b9118
2020-11-20 15:59:35.266 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8004 (http)
